ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,matched_image
superior-40-inch-direct-vent-traditional-see-thru-gas-fireplace-drt40st,Superior,Gas Fireplaces,DRT40STDEN,Superior 40 Direct-Vent Traditional See-Thru Gas Fireplace | DRT40ST,drt40stden,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt400ST-40-hires-1.tif
superior-40-inch-direct-vent-traditional-see-thru-gas-fireplace-drt63st,Superior,Gas Fireplaces,DRT63STTEN,Superior 40 Direct-Vent Traditional Indoor/Outdoor Gas Fireplace | DRT63ST,drt63stten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt63ST-hires-1.tif
superior-42-inch-b-vent-radiant-gas-fireplace-brt4342,Superior,Gas Fireplaces,BRT4342TEN-B,Superior 42 B-Vent Radiant Gas Fireplace | BRT4342,brt4342ten-b,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-bvfp-brt4000-4336-hires-1.tif
superior-42-inch-b-vent-radiant-gas-fireplace-brt4542,Superior,Gas Fireplaces,BRT4542TEN-B,Superior 42 B-Vent Radiant Gas Fireplace | BRT4542,brt4542ten-b,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-bvfp-brt4000-4536-hires-1.tif
superior-42-inch-outdoor-wood-fireplace-wre3042,Superior,Outdoor Wood Fireplaces,WRE3042WS,Superior 42 Outdoor Wood Fireplace | WRE3042,wre3042ws,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-owbfp-wre3000-36-hires-1.tif
superior-42-inch-outdoor-wood-fireplace-wre4542,Superior,Outdoor Wood Fireplaces,WRE4542WS,Superior 42 Outdoor Wood Fireplace | WRE4542,wre4542ws,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-owbfp-wre4500-42-hires-1.tif
superior-42-inch-outdoor-wood-fireplace-wre6042,Superior,Outdoor Wood Fireplaces,WRE6042,Superior 42 Outdoor Wood Fireplace | WRE6042,wre6042,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-owbfp-wre6000-36-hires-1.tif
superior-42-inch-traditional-wood-fireplace-wrt6042,Superior,Wood Fireplaces,WRT6042,Superior 42 Traditional Wood Fireplace | WRT6042,wrt6042,1000x1000,FALSE,Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt6000-42-hires-1.tif
superior-42-inch-vent-free-circulating-gas-firebox-vrt3542,Superior,Fireboxes,VRT3542WS,Superior 42 Inch Vent Free Circulating Gas Firebox | VRT3542 |,vrt3542ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt3500-36-hires-1.tif
superior-42-inch-vent-free-gas-firebox-vrt2542,Superior,Fireboxes,VRT2542WS,Superior 42 Inch Vent Free Gas Firebox | VRT2542 |,vrt2542ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt2500-36-hires-1.tif
superior-42-inch-vent-free-gas-firebox-vrt3142,Superior,Fireboxes,VRT3142WS,Superior 42 Inch Vent Free Gas Firebox | VRT3142 |,vrt3142ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt3100-36-hires-1.tif
superior-42-inch-vent-free-gas-firebox-vrt3242,Superior,Fireboxes,VRT3242WS,Superior 42 Inch Vent Free Gas Firebox | VRT3242 |,vrt3242ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt3200-32-hires-1.tif
