series,product_type,image_type,filename,filepath,priority
drt4040,Gas Fireplaces,Hi-Res Images,superior-dvfp-drt4000-40-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drt4000-40-hires-1.tif,1
drl2000,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl2000-35-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl2000-35-hires-1.tif,1
drl2035,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl2000-35-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl2000-35-hires-1.tif,1
Porcelain-Liner,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT6300 Accessories,Web Images,Porcelain-Liner.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT6300 Accessories/Porcelain-Liner.jpg,
VRT2000,/Indoor Fireplaces,Web Images,VRT2000.jpg,superior_source/Web Images/Indoor Fireplaces/VRT2000.jpg,
Mossy Oak LMF-MO,/Superior Images/Superior Gas Logs/Superior Vent-Free Logs,Web Images,Mossy Oak LMF-MO.jpg,superior_source/Web Images/Superior Images/Superior Gas Logs/Superior Vent-Free Logs/Mossy Oak LMF-MO.jpg,
DRT4500_Liners_DT_25082837_Print,/Indoor Fireplaces,Web Images,DRT4500_Liners_DT_25082837_Print.jpg,superior_source/Web Images/Indoor Fireplaces/DRT4500_Liners_DT_25082837_Print.jpg,
DRT40PF,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRT40PF.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRT40PF.jpg,
mossyoakOD,Gas Logs,Hi-Res Images,superior-vflg-mossyoakOD-hires-2.tif,superior_source/Hi-Res Images/Gas Logs/superior-vflg-mossyoakOD-hires-2.tif,2
DRI3030C-Contemporary-Face---Black,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRI3030C Accessories,Web Images,DRI3030C-Contemporary-Face---Black.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRI3030C Accessories/DRI3030C-Contemporary-Face---Black.jpg,
goldenoak,Gas Logs,Hi-Res Images,superior-vflg-goldenoak-hires-1.tif,superior_source/Hi-Res Images/Gas Logs/superior-vflg-goldenoak-hires-1.tif,1
dri2000,Stoves _ Inserts,Hi-Res Images,superior-dvin-dri2000-32-hires-1.tif,superior_source/Hi-Res Images/Stoves _ Inserts/superior-dvin-dri2000-32-hires-1.tif,1
dri2032,Stoves _ Inserts,Hi-Res Images,superior-dvin-dri2000-32-hires-1.tif,superior_source/Hi-Res Images/Stoves _ Inserts/superior-dvin-dri2000-32-hires-1.tif,1
DRL4060 ROOM,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRL4060 ROOM.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRL4060 ROOM.jpg,
VRE4500 2,/Superior Images/Superior Outdoor Products,Web Images,VRE4500 2.jpg,superior_source/Web Images/Superior Images/Superior Outdoor Products/VRE4500 2.jpg,2
LTF24RS,/Gas Logs/Vent-Free,Web Images,LTF24RS.jpg,superior_source/Web Images/Gas Logs/Vent-Free/LTF24RS.jpg,
Under Hearth Wood Nook,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRT6000 Accessories,Web Images,Under Hearth Wood Nook.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRT6000 Accessories/Under Hearth Wood Nook.jpg,
Light-Tint-Outdoor-Window-Kit,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT63ST Accessories,Web Images,Light-Tint-Outdoor-Window-Kit.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT63ST Accessories/Light-Tint-Outdoor-Window-Kit.jpg,
_WRT4800_Warm Red Stacked_12655485,/Indoor Fireplaces,Web Images,Superior_WRT4800_Warm Red Stacked_12655485.jpg,superior_source/Web Images/Indoor Fireplaces/Superior_WRT4800_Warm Red Stacked_12655485.jpg,
vrt6000,Gas Fireplaces,Hi-Res Images,superior-vffb-vrt6000-42-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-vffb-vrt6000-42-hires-1.tif,1
vrt6042,Gas Fireplaces,Hi-Res Images,superior-vffb-vrt6000-42-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-vffb-vrt6000-42-hires-1.tif,1
DRI3030-Traditional-Face-Mink,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRI3030 Accessories,Web Images,DRI3030-Traditional-Face-Mink.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRI3030 Accessories/DRI3030-Traditional-Face-Mink.jpg,
DRL6500 2,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRL6500 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRL6500 2.jpg,2
MHD3000 MH,/Superior Images/Superior Manufactured Housing,Web Images,MHD3000 MH.jpg,superior_source/Web Images/Superior Images/Superior Manufactured Housing/MHD3000 MH.jpg,
Massive Mixed Oak LTF-MM,/Superior Images/Superior Gas Logs/Superior Vent-Free Logs,Web Images,Massive Mixed Oak LTF-MM.jpg,superior_source/Web Images/Superior Images/Superior Gas Logs/Superior Vent-Free Logs/Massive Mixed Oak LTF-MM.jpg,
Manchester Oak FDLCR,/Superior Images/Superior Gas Logs/Superior Vented Logs,Web Images,Manchester Oak FDLCR.jpg,superior_source/Web Images/Superior Images/Superior Gas Logs/Superior Vented Logs/Manchester Oak FDLCR.jpg,
